# Title: Line and Mean Opacities for Ultra-cool Dwarfs and Extrasolar Planets
# Authors: Freedman R.,  Marley M.S., Lodders K.
# Table: Mean Opacities for [M/H] = 0.0
# Modified by Zifan Lin into rectangular grid
# Empty (low P-T) grid points filled with 75 K, 3.0E+2 dyne/cm2 data
# Pressure, density, kappaR and kappaP are isothermally extended to 1.0e13 Pa (1.0e14 0.1 Pa)
# Temp (K)	Pressure (0.1 Pa)	Density (g/cm3)	kappaR (cm2/g)	kappaP (cm2/g)
1800	1.00E+04	1.5766E-07	6.4528E-03	5.8432E-01
1800	3.00E+04	4.7330E-07	7.0565E-03	5.9307E-01
1800	1.00E+05	1.5783E-06	7.1856E-03	6.2521E-01
1800	3.00E+05	4.7359E-06	8.9559E-03	7.5003E-01
1800	1.00E+06	1.5779E-05	1.2056E-02	1.1188E+00
1800	3.00E+06	4.7316E-05	1.6708E-02	1.5011E+00
1800	1.00E+07	1.5767E-04	2.5591E-02	1.6526E+00
1800	3.00E+07	4.7267E-04	4.6422E-02	1.8099E+00
1800	1.00E+08	1.5758E-03	1.1072E-01	2.3226E+00
1800	3.00E+08	4.7283E-03	2.2029E-01	3.3908E+00
2000	3.00E+02	4.0881E-09	9.1848E-03	4.8287E-01
2000	3.00E+03	4.2062E-08	9.5676E-03	4.9048E-01
2000	1.00E+04	1.4107E-07	9.9903E-03	5.0228E-01
2000	3.00E+04	4.2455E-07	1.0728E-02	5.3391E-01
2000	1.00E+05	1.4180E-06	1.2352E-02	6.4085E-01
2000	3.00E+05	4.2583E-06	1.5319E-02	9.3496E-01
2000	1.00E+06	1.4203E-05	2.1518E-02	1.7784E+00
2000	3.00E+06	4.2622E-05	3.0157E-02	2.6513E+00
2000	1.00E+07	1.4203E-04	4.1456E-02	2.9109E+00
2000	3.00E+07	4.2589E-04	6.2272E-02	3.1328E+00
2000	1.00E+08	1.4197E-03	1.2593E-01	3.5785E+00
2000	3.00E+08	4.2579E-03	2.6326E-01	4.6144E+00
2300	3.00E+02	2.9891E-09	1.3659E-02	3.6647E-01
2300	3.00E+03	3.4325E-08	1.5696E-02	4.1000E-01
2300	1.00E+04	1.1835E-07	1.6442E-02	4.3827E-01
2300	3.00E+04	3.6149E-07	1.7437E-02	5.0911E-01
2300	1.00E+05	1.2187E-06	1.9556E-02	7.5539E-01
2300	3.00E+05	3.6779E-06	2.3195E-02	1.4531E+00
2300	1.00E+06	1.2305E-05	3.0941E-02	3.5279E+00
2300	3.00E+06	3.6984E-05	4.3733E-02	5.8138E+00
2300	1.00E+07	1.2343E-04	6.9354E-02	6.3501E+00
2300	3.00E+07	3.7050E-04	1.1517E-01	6.7291E+00
2300	1.00E+08	1.2356E-03	2.2549E-01	7.1516E+00
2300	3.00E+08	3.7059E-03	3.9788E-01	8.0074E+00
