# K2-18b_model2_neptune_like
# Calculated total mass (Me): 8.6323368496
# Calculated total radius (Re): 2.6479532256
# Calculated surface pressure (bar): 0.3016368775
# Calculated surface density (kg m-3): 0.0332371821
# Mass at layer boundaries (Me): 1.2820836947 3.8849437859 8.6305908010 8.6323368496
# Radius at layer boundaries (Re): 0.6978512008 1.2764102967 2.4099686078 2.6479532256
# Pressure at layer boundaries (GPa): 1098.3905876140 352.3406063553 0.0466341277 0.0000301637
# Temperature at layer boundaries (K): 8000.0000000000 8000.0000000000 1801.1224160149 255.5069202060
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
9.6594498574e+17	2.1410000000e+04	2.4089647856e+12	23662.5550457777	8000.0000000000	core
9.7957526758e+17	2.1510000000e+04	2.4089644528e+12	23662.5540517916	8000.0000000000	core
9.9333317250e+17	2.1610000000e+04	2.4089641184e+12	23662.5530531082	8000.0000000000	core
1.0072192952e+18	2.1710000000e+04	2.4089637825e+12	23662.5520497275	8000.0000000000	core
1.0212342304e+18	2.1810000000e+04	2.4089634450e+12	23662.5510416494	8000.0000000000	core
1.0353785727e+18	2.1910000000e+04	2.4089631059e+12	23662.5500288741	8000.0000000000	core
1.0496529169e+18	2.2010000000e+04	2.4089627653e+12	23662.5490114014	8000.0000000000	core
1.0640578576e+18	2.2110000000e+04	2.4089624231e+12	23662.5479892315	8000.0000000000	core
1.0785939896e+18	2.2210000000e+04	2.4089620794e+12	23662.5469623642	8000.0000000000	core
1.0932619075e+18	2.2310000000e+04	2.4089617340e+12	23662.5459307997	8000.0000000000	core
1.1080622060e+18	2.2410000000e+04	2.4089613871e+12	23662.5448945378	8000.0000000000	core
1.1229954798e+18	2.2510000000e+04	2.4089610387e+12	23662.5438535787	8000.0000000000	core
1.1380623236e+18	2.2610000000e+04	2.4089606887e+12	23662.5428079222	8000.0000000000	core
1.1532633321e+18	2.2710000000e+04	2.4089603371e+12	23662.5417575684	8000.0000000000	core
1.1685990999e+18	2.2810000000e+04	2.4089599839e+12	23662.5407025174	8000.0000000000	core
1.1840702218e+18	2.2910000000e+04	2.4089596292e+12	23662.5396427690	8000.0000000000	core
1.1996772925e+18	2.3010000000e+04	2.4089592729e+12	23662.5385783233	8000.0000000000	core
1.2154209066e+18	2.3110000000e+04	2.4089589151e+12	23662.5375091804	8000.0000000000	core
1.2313016589e+18	2.3210000000e+04	2.4089585557e+12	23662.5364353401	8000.0000000000	core
1.2473201439e+18	2.3310000000e+04	2.4089581947e+12	23662.5353568026	8000.0000000000	core
1.2634769565e+18	2.3410000000e+04	2.4089578321e+12	23662.5342735677	8000.0000000000	core
1.2797726913e+18	2.3510000000e+04	2.4089574680e+12	23662.5331856356	8000.0000000000	core
1.2962079429e+18	2.3610000000e+04	2.4089571024e+12	23662.5320930061	8000.0000000000	core
1.3127833062e+18	2.3710000000e+04	2.4089567351e+12	23662.5309956794	8000.0000000000	core
1.3294993756e+18	2.3810000000e+04	2.4089563663e+12	23662.5298936553	8000.0000000000	core
1.3463567461e+18	2.3910000000e+04	2.4089559959e+12	23662.5287869340	8000.0000000000	core
1.3633560122e+18	2.4010000000e+04	2.4089556240e+12	23662.5276755154	8000.0000000000	core
1.3804977686e+18	2.4110000000e+04	2.4089552505e+12	23662.5265593995	8000.0000000000	core
1.3977826100e+18	2.4210000000e+04	2.4089548754e+12	23662.5254385863	8000.0000000000	core
1.4152111311e+18	2.4310000000e+04	2.4089544988e+12	23662.5243130758	8000.0000000000	core
1.4327839266e+18	2.4410000000e+04	2.4089541206e+12	23662.5231828680	8000.0000000000	core
1.4505015911e+18	2.4510000000e+04	2.4089537408e+12	23662.5220479629	8000.0000000000	core
1.4683647195e+18	2.4610000000e+04	2.4089533595e+12	23662.5209083606	8000.0000000000	core
1.4863739062e+18	2.4710000000e+04	2.4089529766e+12	23662.5197640609	8000.0000000000	core
1.5045297461e+18	2.4810000000e+04	2.4089525922e+12	23662.5186150640	8000.0000000000	core
1.5228328339e+18	2.4910000000e+04	2.4089522061e+12	23662.5174613697	8000.0000000000	core
1.5412837641e+18	2.5010000000e+04	2.4089518186e+12	23662.5163029782	8000.0000000000	core
