# Earth_adiabatic_iron_silicate_2layer
# Calculated total mass (Me): 0.9998795466
# Calculated total radius (Re): 0.9868325224
# Calculated surface pressure (bar): 14.0129496395
# Calculated surface density (kg m-3): 3359.5000000000
# Mass at layer boundaries (Me): 0.3250077055 0.9998795466
# Radius at layer boundaries (Re): 0.5154151625 0.9868325224
# Pressure at layer boundaries (GPa): 152.3542098369 0.0014012950
# Temperature at layer boundaries (K): 4231.1583516629 2581.6548129777
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
5.3981869423e+20	2.0591000000e+05	4.3280882587e+11	14767.9805721242	5495.5519978608	N/A
5.4060553319e+20	2.0601000000e+05	4.3280757094e+11	14767.9704751234	5495.5476707878	N/A
5.4139313604e+20	2.0611000000e+05	4.3280631540e+11	14767.9603732241	5495.5433416089	N/A
5.4218150318e+20	2.0621000000e+05	4.3280505925e+11	14767.9502664263	5495.5390103242	N/A
5.4297063495e+20	2.0631000000e+05	4.3280380250e+11	14767.9401547300	5495.5346769336	N/A
5.4376053173e+20	2.0641000000e+05	4.3280254513e+11	14767.9300381352	5495.5303414370	N/A
5.4455119390e+20	2.0651000000e+05	4.3280128716e+11	14767.9199166420	5495.5260038346	N/A
5.4534262182e+20	2.0661000000e+05	4.3280002858e+11	14767.9097902503	5495.5216641264	N/A
5.4613481586e+20	2.0671000000e+05	4.3279876939e+11	14767.8996589603	5495.5173223122	N/A
5.4692777639e+20	2.0681000000e+05	4.3279750959e+11	14767.8895227718	5495.5129783921	N/A
5.4772150378e+20	2.0691000000e+05	4.3279624918e+11	14767.8793816849	5495.5086323661	N/A
5.4851599840e+20	2.0701000000e+05	4.3279498816e+11	14767.8692356997	5495.5042842342	N/A
5.4931126062e+20	2.0711000000e+05	4.3279372654e+11	14767.8590848161	5495.4999339963	N/A
5.5010729082e+20	2.0721000000e+05	4.3279246430e+11	14767.8489290342	5495.4955816526	N/A
5.5090408935e+20	2.0731000000e+05	4.3279120146e+11	14767.8387683539	5495.4912272029	N/A
5.5170165660e+20	2.0741000000e+05	4.3278993801e+11	14767.8286027754	5495.4868706473	N/A
5.5249999292e+20	2.0751000000e+05	4.3278867395e+11	14767.8184322986	5495.4825119858	N/A
5.5329909869e+20	2.0761000000e+05	4.3278740929e+11	14767.8082569234	5495.4781512183	N/A
5.5409897429e+20	2.0771000000e+05	4.3278614401e+11	14767.7980766501	5495.4737883449	N/A
5.5489962007e+20	2.0781000000e+05	4.3278487813e+11	14767.7878914785	5495.4694233656	N/A
5.5570103642e+20	2.0791000000e+05	4.3278361163e+11	14767.7777014086	5495.4650562803	N/A
5.5650322369e+20	2.0801000000e+05	4.3278234453e+11	14767.7675064406	5495.4606870891	N/A
5.5730618226e+20	2.0811000000e+05	4.3278107682e+11	14767.7573065743	5495.4563157919	N/A
5.5810991250e+20	2.0821000000e+05	4.3277980850e+11	14767.7471018099	5495.4519423887	N/A
5.5891441478e+20	2.0831000000e+05	4.3277853958e+11	14767.7368921473	5495.4475668796	N/A
5.5971968947e+20	2.0841000000e+05	4.3277727004e+11	14767.7266775866	5495.4431892645	N/A
5.6052573693e+20	2.0851000000e+05	4.3277599990e+11	14767.7164581278	5495.4388095434	N/A
5.6133255755e+20	2.0861000000e+05	4.3277472915e+11	14767.7062337708	5495.4344277163	N/A
5.6214015168e+20	2.0871000000e+05	4.3277345779e+11	14767.6960045158	5495.4300437833	N/A
5.6294851970e+20	2.0881000000e+05	4.3277218582e+11	14767.6857703626	5495.4256577443	N/A
5.6375766198e+20	2.0891000000e+05	4.3277091324e+11	14767.6755313115	5495.4212695993	N/A
5.6456757888e+20	2.0901000000e+05	4.3276964005e+11	14767.6652873622	5495.4168793483	N/A
5.6537827078e+20	2.0911000000e+05	4.3276836626e+11	14767.6550385150	5495.4124869912	N/A
5.6618973805e+20	2.0921000000e+05	4.3276709186e+11	14767.6447847697	5495.4080925282	N/A
5.6700198106e+20	2.0931000000e+05	4.3276581684e+11	14767.6345261264	5495.4036959592	N/A
5.6781500017e+20	2.0941000000e+05	4.3276454122e+11	14767.6242625851	5495.3992972842	N/A
5.6862879576e+20	2.0951000000e+05	4.3276326500e+11	14767.6139941459	5495.3948965031	N/A
5.6944336820e+20	2.0961000000e+05	4.3276198816e+11	14767.6037208088	5495.3904936161	N/A
5.7025871785e+20	2.0971000000e+05	4.3276071071e+11	14767.5934425737	5495.3860886230	N/A
5.7107484508e+20	2.0981000000e+05	4.3275943266e+11	14767.5831594406	5495.3816815238	N/A
5.7189175028e+20	2.0991000000e+05	4.3275815400e+11	14767.5728714097	5495.3772723187	N/A
5.7270943379e+20	2.1001000000e+05	4.3275687473e+11	14767.5625784809	5495.3728610075	N/A
