#P (Pa)	rho (kg/m3)
1.163042931246e+10	3.075215043009e+03
1.168662884609e+10	3.079015803161e+03
1.174302178810e+10	3.082816563313e+03
1.179960851454e+10	3.086617323465e+03
1.185638940149e+10	3.090418083617e+03
1.191336482509e+10	3.094218843769e+03
1.197053516147e+10	3.098019603921e+03
1.202790078680e+10	3.101820364073e+03
1.208546207730e+10	3.105621124225e+03
1.214321940918e+10	3.109421884377e+03
1.220117315870e+10	3.113222644529e+03
1.225932370215e+10	3.117023404681e+03
1.231767141582e+10	3.120824164833e+03
1.237621667603e+10	3.124624924985e+03
1.243495985915e+10	3.128425685137e+03
1.249390134152e+10	3.132226445289e+03
1.255304149955e+10	3.136027205441e+03
1.261238070964e+10	3.139827965593e+03
1.267191934822e+10	3.143628725745e+03
1.273165779172e+10	3.147429485897e+03
1.279159641662e+10	3.151230246049e+03
1.285173559939e+10	3.155031006201e+03
1.291207571651e+10	3.158831766353e+03
1.297261714450e+10	3.162632526505e+03
1.303336025988e+10	3.166433286657e+03
1.309430543917e+10	3.170234046809e+03
1.315545305892e+10	3.174034806961e+03
1.321680349568e+10	3.177835567113e+03
1.327835712601e+10	3.181636327265e+03
1.334011432649e+10	3.185437087417e+03
1.340207547370e+10	3.189237847570e+03
1.346424094422e+10	3.193038607722e+03
1.352661111465e+10	3.196839367874e+03
1.358918636158e+10	3.200640128026e+03
1.365196706162e+10	3.204440888178e+03
1.371495359138e+10	3.208241648330e+03
1.377814632747e+10	3.212042408482e+03
1.384154564650e+10	3.215843168634e+03
1.390515192508e+10	3.219643928786e+03
1.396896553982e+10	3.223444688938e+03
1.403298686735e+10	3.227245449090e+03
1.409721628427e+10	3.231046209242e+03
1.416165416720e+10	3.234846969394e+03
1.422630089273e+10	3.238647729546e+03
1.429115683748e+10	3.242448489698e+03
1.435622237804e+10	3.246249249850e+03
1.442149789101e+10	3.250050010002e+03
1.448698375297e+10	3.253850770154e+03
1.455268034050e+10	3.257651530306e+03
1.461858803017e+10	3.261452290458e+03
1.468470719855e+10	3.265253050610e+03
1.475103822219e+10	3.269053810762e+03
1.481758147763e+10	3.272854570914e+03
1.488433734140e+10	3.276655331066e+03
1.495130619003e+10	3.280456091218e+03
1.501848840002e+10	3.284256851370e+03
1.508588434786e+10	3.288057611522e+03
1.515349441004e+10	3.291858371674e+03
1.522131896300e+10	3.295659131826e+03
1.528935838321e+10	3.299459891978e+03
1.535761304709e+10	3.303260652130e+03
1.542608333105e+10	3.307061412282e+03
1.549476961148e+10	3.310862172434e+03
1.556367226477e+10	3.314662932587e+03
1.563279166726e+10	3.318463692739e+03
1.570212819528e+10	3.322264452891e+03
1.577168222516e+10	3.326065213043e+03
1.584145413316e+10	3.329865973195e+03
1.591144429557e+10	3.333666733347e+03
1.598165308862e+10	3.337467493499e+03
1.605208088853e+10	3.341268253651e+03
1.612272807148e+10	3.345069013803e+03
