# Graphite EOS from Seager et al. (2007)
# Fitted to 3rd order BME EOS, rho0=2.25 g/cm3, K0 = 33.8 GPa, K'0 = 8.9
# Pressure (Pa)	Density (kg/m^3)
1.7259430367e+10	2.7848924462e+03
1.7305610298e+10	2.7857678839e+03
1.7351858193e+10	2.7866433217e+03
1.7398174101e+10	2.7875187594e+03
1.7444558067e+10	2.7883941971e+03
1.7491010137e+10	2.7892696348e+03
1.7537530360e+10	2.7901450725e+03
1.7584118780e+10	2.7910205103e+03
1.7630775446e+10	2.7918959480e+03
1.7677500402e+10	2.7927713857e+03
1.7724293697e+10	2.7936468234e+03
1.7771155376e+10	2.7945222611e+03
1.7818085486e+10	2.7953976988e+03
1.7865084074e+10	2.7962731366e+03
1.7912151186e+10	2.7971485743e+03
1.7959286870e+10	2.7980240120e+03
1.8006491171e+10	2.7988994497e+03
1.8053764136e+10	2.7997748874e+03
1.8101105812e+10	2.8006503252e+03
1.8148516246e+10	2.8015257629e+03
1.8195995484e+10	2.8024012006e+03
1.8243543573e+10	2.8032766383e+03
1.8291160559e+10	2.8041520760e+03
1.8338846489e+10	2.8050275138e+03
1.8386601411e+10	2.8059029515e+03
1.8434425369e+10	2.8067783892e+03
1.8482318412e+10	2.8076538269e+03
1.8530280586e+10	2.8085292646e+03
1.8578311937e+10	2.8094047024e+03
1.8626412513e+10	2.8102801401e+03
1.8674582359e+10	2.8111555778e+03
1.8722821523e+10	2.8120310155e+03
1.8771130052e+10	2.8129064532e+03
1.8819507991e+10	2.8137818909e+03
1.8867955388e+10	2.8146573287e+03
1.8916472289e+10	2.8155327664e+03
1.8965058742e+10	2.8164082041e+03
1.9013714792e+10	2.8172836418e+03
1.9062440487e+10	2.8181590795e+03
1.9111235874e+10	2.8190345173e+03
1.9160100998e+10	2.8199099550e+03
1.9209035907e+10	2.8207853927e+03
1.9258040648e+10	2.8216608304e+03
1.9307115267e+10	2.8225362681e+03
1.9356259811e+10	2.8234117059e+03
1.9405474326e+10	2.8242871436e+03
1.9454758861e+10	2.8251625813e+03
1.9504113460e+10	2.8260380190e+03
1.9553538172e+10	2.8269134567e+03
1.9603033043e+10	2.8277888944e+03
1.9652598119e+10	2.8286643322e+03
1.9702233448e+10	2.8295397699e+03
1.9751939075e+10	2.8304152076e+03
1.9801715049e+10	2.8312906453e+03
1.9851561416e+10	2.8321660830e+03
1.9901478222e+10	2.8330415208e+03
1.9951465515e+10	2.8339169585e+03
2.0001523341e+10	2.8347923962e+03
2.0051651746e+10	2.8356678339e+03
2.0101850779e+10	2.8365432716e+03
